ida_ea	name	signature	source_cpp
0x006BC300	?SetEnabled@FogConfig@@YAXH@Z	void __cdecl FogConfig::SetEnabled(int)	
0x006BC310	?SetRange@FogConfig@@YAXMM@Z	void __cdecl FogConfig::SetRange(float,float)	
0x006BC330	?SetVal@FogConfig@@YAXMM@Z	void __cdecl FogConfig::SetVal(float,float)	
0x006BC350	?SetColor@FogConfig@@YAXMMM@Z	void __cdecl FogConfig::SetColor(float,float,float)	
0x006BC4A0	?SetColorInt@FogConfig@@YAXHHH@Z	void __cdecl FogConfig::SetColorInt(int,int,int)	
0x006BC4F0	?Apply@FogConfig@@YAXXZ	void __cdecl FogConfig::Apply(void)	
0x006BC550	?GetEnabled@FogConfig@@YAXAAH@Z	void __cdecl FogConfig::GetEnabled(int &)	
0x006BC560	?GetColor@FogConfig@@YAXAAM00@Z	void __cdecl FogConfig::GetColor(float &,float &,float &)	
0x006BC5A0	?GetColorInt@FogConfig@@YAXAAH00@Z	void __cdecl FogConfig::GetColorInt(int &,int &,int &)	
0x006BC5F0	?GetRange@FogConfig@@YAXAAM0@Z	void __cdecl FogConfig::GetRange(float &,float &)	
0x006BC620	?GetVal@FogConfig@@YAXAAM0@Z	void __cdecl FogConfig::GetVal(float &,float &)	
0x006BC870	?SetLightGridFailedColor@LightGridMgr@@QAEXXZ	public: void __thiscall LightGridMgr::SetLightGridFailedColor(void)	
0x006BC8B0	?GetGridInfo@LightGridMgr@@AAE_NABUTOC@LightGrid@@HABVPosition3@math@@PAPBUGridPoint@3@PAM@Z	private: bool __thiscall LightGridMgr::GetGridInfo(struct LightGrid::TOC const &,int,class math::Position3 const &,struct LightGrid::GridPoint const * *,float *)	
0x006BCBB0	?GetAmbientColors@LightGridMgr@@AAEXPAPBUGridPoint@LightGrid@@PAVPosition3@math@@@Z	private: void __thiscall LightGridMgr::GetAmbientColors(struct LightGrid::GridPoint const * *,class math::Position3 *)	
0x006BCE00	??0TimerRenderBars@@QAE@XZ	public: __thiscall TimerRenderBars::TimerRenderBars(void)	
0x006BCE60	?Init@TimerRenderBars@@QAEXXZ	public: void __thiscall TimerRenderBars::Init(void)	
0x006BCEE0	?DeltaTimeScale@TimerRenderBars@@QAEXH@Z	public: void __thiscall TimerRenderBars::DeltaTimeScale(int)	
0x006BCF00	?Init@DebugRender@@QAEXXZ	public: void __thiscall DebugRender::Init(void)	
0x006BD000	?extract_color@@YAIABVColor@@@Z	unsigned int __cdecl extract_color(class Color const &)	
0x006BD060	?compute_orth_unit_vector@@YA?BVDir3@math@@ABV12@@Z	class math::Dir3 const __cdecl compute_orth_unit_vector(class math::Dir3 const &)	
0x006BD200	?RenderLineBox@DebugRender@@SAXABVMat43@math@@ABVDiagMat33@3@ABVColor@@@Z	public: static void __cdecl DebugRender::RenderLineBox(class math::Mat43 const &,class math::DiagMat33 const &,class Color const &)	
0x006BD230	?RenderQuad2D@DebugRender@@SAXMMMMMABVColor@@@Z	public: static void __cdecl DebugRender::RenderQuad2D(float,float,float,float,float,class Color const &)	
0x006BD2D0	?RenderText@DebugRender@@SAXPBDHHABVColor@@MM@Z	public: static void __cdecl DebugRender::RenderText(char const *,int,int,class Color const &,float,float)	
0x006BD390	?XModelEnforceExist@@YAXH@Z	void __cdecl XModelEnforceExist(int)	
0x006BD3A0	?XModelSetOptimize@@YAXH@Z	void __cdecl XModelSetOptimize(int)	
0x006BD3B0	?XModelGetSurfaces@@YAHV?$IVPointer@VXModel@@@@PAPAPAVXSurface@@H@Z	int __cdecl XModelGetSurfaces(class IVPointer<class XModel>,class XSurface * * *,int)	
0x006BD3C0	?XModelGetSurfaceName@@YAPBDV?$IVPointer@VXModel@@@@HH@Z	char const * __cdecl XModelGetSurfaceName(class IVPointer<class XModel>,int,int)	
0x006BD3D0	?XSurfaceCloneSurface@@YAPAVXSurface@@PAV1@@Z	class XSurface * __cdecl XSurfaceCloneSurface(class XSurface *)	
0x006BD440	?XSurfaceGetNumVerts@@YAHPAVXSurface@@@Z	int __cdecl XSurfaceGetNumVerts(class XSurface *)	
0x006BD450	?XSurfaceGetNumTris@@YAHPAVXSurface@@@Z	int __cdecl XSurfaceGetNumTris(class XSurface *)	
0x006BD460	?XSurfaceTileMode@@YA?AW4XSurfTile_e@@PAVXSurface@@@Z	enum XSurfTile_e __cdecl XSurfaceTileMode(class XSurface *)	
0x006BD470	?XSurfaceGetTris@@YAXPAVXSurface@@PAGG@Z	void __cdecl XSurfaceGetTris(class XSurface *,unsigned short *,unsigned short)	
0x006BD5C0	?XSurfaceGetVertexInfoArray@@YA?ATXVariantVertexInfo_u@@PAVXSurface@@@Z	union XVariantVertexInfo_u __cdecl XSurfaceGetVertexInfoArray(class XSurface *)	
0x006BD5D0	?XSurfaceGetTexCoordArray@@YAPAY01MPAVXSurface@@@Z	float (* __cdecl XSurfaceGetTexCoordArray(class XSurface *))[2]	
0x006BD5E0	?XSurfaceGetBlendInfoArray@@YAPAUXBlendInfo@@PAVXSurface@@@Z	struct XBlendInfo * __cdecl XSurfaceGetBlendInfoArray(class XSurface *)	
0x006BD5F0	?XSurfaceGetBoneIndex@@YAHPAVXSurface@@@Z	int __cdecl XSurfaceGetBoneIndex(class XSurface *)	
0x006BD600	?XSurfaceRemapTextureCoordinates@@YAXPAVXSurface@@QAM1HH@Z	void __cdecl XSurfaceRemapTextureCoordinates(class XSurface *,float * const,float * const,int,int)	
0x006BD800	?XSurfaceGetVerts@@YAXPAVXSurface@@PAUDObjSkelMat@@PAM22@Z	void __cdecl XSurfaceGetVerts(class XSurface *,struct DObjSkelMat *,float *,float *,float *)	
0x006BDC00	?OnBankUnloaded@XModelPartsManager@@EAEXAAVXModelPartsBank@@@Z	private: virtual void __thiscall XModelPartsManager::OnBankUnloaded(class XModelPartsBank &)	
0x006BDC10	?DObjInit@@YAXXZ	void __cdecl DObjInit(void)	
0x006BDC20	?DObjShutdown@@YAXXZ	void __cdecl DObjShutdown(void)	
0x006BDC30	?DObjIgnoreCollision@@YAHPAVDObj@@H@Z	int __cdecl DObjIgnoreCollision(class DObj *,int)	
0x006BDC60	?DObjGetHierarchyBits@@YAXPAVDObj@@HQAH@Z	void __cdecl DObjGetHierarchyBits(class DObj *,int,int * const)	
0x006BDDF0	?DObjCompleteHierarchyBits@@YAXPAVDObj@@QAH@Z	void __cdecl DObjCompleteHierarchyBits(class DObj *,int * const)	
0x006BDEE0	?DObjCalcSkel@@YAXPAVDObj@@QAH@Z	void __cdecl DObjCalcSkel(class DObj *,int * const)	
0x006BDEF0	?DObjGetMatrixArray@@YAPAUDObjSkelMat@@PBVDObj@@H@Z	struct DObjSkelMat * __cdecl DObjGetMatrixArray(class DObj const *,int)	
0x006BDF70	?DObjGetAllocSkelSize@@YAHPAVDObj@@@Z	int __cdecl DObjGetAllocSkelSize(class DObj *)	
0x006BDF90	?DObjSkelExists@@YAHPAVDObj@@H@Z	int __cdecl DObjSkelExists(class DObj *,int)	
0x006BDFB0	?DObjSkelExistsConst@@YAHPAVDObj@@H@Z	int __cdecl DObjSkelExistsConst(class DObj *,int)	
0x006BDFD0	?DObjGetNumModels@@YAHPAVDObj@@@Z	int __cdecl DObjGetNumModels(class DObj *)	
0x006BDFE0	?DObjSetRotTransIndex@@YAHPAVDObj@@QAHH@Z	int __cdecl DObjSetRotTransIndex(class DObj *,int * const,int)	
0x006BDFF0	?DObjSetControlRotTransIndex@@YAHPAVDObj@@QAHH@Z	int __cdecl DObjSetControlRotTransIndex(class DObj *,int * const,int)	
