ida_ea	name	signature	source_cpp
0x005BBC20	?MemPrint@@YAXPBDZZ	void __cdecl MemPrint(char const *,...)	
0x005BBC50	?Init@MemCount@@YAXXZ	void __cdecl MemCount::Init(void)	
0x005BBC60	?RenderTotals@MemCount@@YAXXZ	void __cdecl MemCount::RenderTotals(void)	
0x005BBC70	?ReportTotals@MemCount@@YAXXZ	void __cdecl MemCount::ReportTotals(void)	
0x005BBC80	?IsRealLeak@MemCount@@YA_NPBDHH@Z	bool __cdecl MemCount::IsRealLeak(char const *,int,int)	
0x005BBC90	?CheckForMapChangeLeaks@MemCount@@YAXXZ	void __cdecl MemCount::CheckForMapChangeLeaks(void)	
0x005BBCA0	?CheckForRoundtripLeaks@MemCount@@YAXXZ	void __cdecl MemCount::CheckForRoundtripLeaks(void)	
0x005BBCB0	?SetGamePhase@MemCount@@YAXW4eGamePhase@1@@Z	void __cdecl MemCount::SetGamePhase(enum MemCount::eGamePhase)	
0x005BBCC0	?SetSafeAlloc@MemCount@@YAX_N@Z	void __cdecl MemCount::SetSafeAlloc(bool)	
0x005BBCD0	?ThreadPrintf@@YAXHPBDZZ	void __cdecl ThreadPrintf(int,char const *,...)	
0x005BBD30	?SetJmp@@YAXPAI@Z	void __cdecl SetJmp(unsigned int *)	
0x005BBD80	?LongJmp@@YAXPAI@Z	void __cdecl LongJmp(unsigned int *)	
0x005BBDB0	??0BackupStack@AeThread@@QAE@XZ	public: __thiscall AeThread::BackupStack::BackupStack(void)	
0x005BBDC0	?Backup@BackupStack@AeThread@@QAEXII@Z	public: void __thiscall AeThread::BackupStack::Backup(unsigned int,unsigned int)	
0x005BBF70	?Restore@BackupStack@AeThread@@QBEXI@Z	public: void __thiscall AeThread::BackupStack::Restore(unsigned int)const 	
0x005BC0B0	??1BackupStack@AeThread@@QAE@XZ	public: __thiscall AeThread::BackupStack::~BackupStack(void)	
0x005BC0F0	?NewAction@AeThreadPakNotifyState@@UAE?AW4EAction@AeThreadState@@AAVAeThread@@@Z	public: virtual enum AeThreadState::EAction __thiscall AeThreadPakNotifyState::NewAction(class AeThread &)	
0x005BC150	?NewAction@AeThreadWaitState@@UAE?AW4EAction@AeThreadState@@AAVAeThread@@@Z	public: virtual enum AeThreadState::EAction __thiscall AeThreadWaitState::NewAction(class AeThread &)	
0x005BC180	?NewAction@AeThreadWaitFramesState@@UAE?AW4EAction@AeThreadState@@AAVAeThread@@@Z	public: virtual enum AeThreadState::EAction __thiscall AeThreadWaitFramesState::NewAction(class AeThread &)	
0x005BC1A0	?XboxGetEntryFunction@@YAP6AP6AXXZPAPAUBrocAPI@@AAUBrocExports@@@ZPBD@Z	void (__cdecl*(__cdecl*__cdecl XboxGetEntryFunction(char const *))(struct BrocAPI * *,struct BrocExports &))(void)	
0x005BC1D0	?SetDepthOfField@@YAX_NMMMM@Z	void __cdecl SetDepthOfField(bool,float,float,float,float)	
0x005BC1E0	?CreateNanoGraph@@YAIPADQAM1@Z	unsigned int __cdecl CreateNanoGraph(char *,float * const,float * const)	
0x005BC210	?ConvertStringToHash@BrocSys@@YA?BIPBD@Z	unsigned int const __cdecl BrocSys::ConvertStringToHash(char const *)	
0x005BC230	?MemFree@BrocSys@@YAXPAX@Z	void __cdecl BrocSys::MemFree(void *)	
0x005BC280	?PoolAlloc@BrocSys@@YAPAXI@Z	void * __cdecl BrocSys::PoolAlloc(unsigned int)	
0x005BC2A0	?PoolFree@BrocSys@@YAXPAX@Z	void __cdecl BrocSys::PoolFree(void *)	
