index	status	map_line
1	SKIPPED	0002:00163f00 ?compare@?$char_traits@D@std@@SAHPBD0I@Z 00953400 f i shell.o  SKIPPED: STL/compiler helper; supplied by the toolchain/library
2	SKIPPED	0002:00163f30 ?find@?$char_traits@D@std@@SAPBDPBDIABD@Z 00953430 f i shell.o  SKIPPED: STL/compiler helper; supplied by the toolchain/library
3	SKIPPED	0002:00163f60 ?assign@?$char_traits@D@std@@SAPADPADID@Z 00953460 f i shell.o  SKIPPED: STL/compiler helper; supplied by the toolchain/library
4	VERIFIED	0002:00163fe0 ?Init@StubData@@QAEXXZ 009534E0 f shell.o
5	VERIFIED	0002:001641e0 ?LoadData@StubData@@QAEXPAU1@@Z 009536E0 f shell.o
6	VERIFIED	0002:00164400 ?LoadDataLastMinFix@StubData@@QAEXPAU1@@Z 00953900 f shell.o
7	VERIFIED	0002:00164610 ?ApplyDifficulty@StubData@@QAEXXZ 00953B10 f shell.o
8	VERIFIED	0002:00164620 ?set@MPsharedStubData@@QAEXPAUStubData@@@Z 00953B20 f shell.o
9	VERIFIED	0002:001648c0 ?get@MPsharedStubData@@QBEXPAUStubData@@@Z 00953DC0 f shell.o
10	VERIFIED	0002:00164bb0 ?ApplyControllerButtonConfig@@YAXH@Z 009540B0 f shell.o
11	VERIFIED	0002:00164c70 ?Init@SaveGameData@@QAEXXZ 00954170 f shell.o
12	VERIFIED	0002:00164d30 ?LoadData@SaveGameData@@QAEXPAU1@@Z 00954230 f shell.o
13	VERIFIED	0002:00164f10 ?ApplyControllerStickConfig@@YAXH@Z 00954410 f shell.o
14	VERIFIED	0002:00164f70 ??1IGOFrontEnd@@UAE@XZ 00954470 f shell.o
15	VERIFIED	0002:00165110 ?PanelFileUnloaded@IGOFrontEnd@@UAEXPAVPanelFile@@@Z 00954610 f shell.o
16	VERIFIED	0002:00165140 ?UpdateInScene@IGOFrontEnd@@UAEXM@Z 00954640 f shell.o
17	VERIFIED	0002:00165180 ?SetTutorialText@IGOFrontEnd@@QAEXHH@Z 00954680 f shell.o
18	VERIFIED	0002:00165260 ?SetActionHint@IGOFrontEnd@@QAEXHH@Z 00954760 f shell.o
19	VERIFIED	0002:00165300 ?DrawHint@IGOFrontEnd@@UAEXH@Z 00954800 f shell.o
20	VERIFIED	0002:00165350 ?Draw@IGOFrontEnd@@UAEXH@Z 00954850 f shell.o
21	VERIFIED	0002:00165660 ?Draw3DWorldSpace@IGOFrontEnd@@QAEXXZ 00954B60 f shell.o
22	VERIFIED	0002:00165690 ?UpdateSplitScreen@IGOFrontEnd@@QAEXXZ 00954B90 f shell.o
