ida_ea	va	name	signature	family
0x00563FE0	0x009534E0	?Init@StubData@@QAEXXZ	public: void __thiscall StubData::Init(void)	shell.o
0x005641E0	0x009536E0	?LoadData@StubData@@QAEXPAU1@@Z	public: void __thiscall StubData::LoadData(struct StubData *)	shell.o
0x00564400	0x00953900	?LoadDataLastMinFix@StubData@@QAEXPAU1@@Z	public: void __thiscall StubData::LoadDataLastMinFix(struct StubData *)	shell.o
0x00564610	0x00953B10	?ApplyDifficulty@StubData@@QAEXXZ	public: void __thiscall StubData::ApplyDifficulty(void)	shell.o
0x00564620	0x00953B20	?set@MPsharedStubData@@QAEXPAUStubData@@@Z	public: void __thiscall MPsharedStubData::set(struct StubData *)	shell.o
0x005648C0	0x00953DC0	?get@MPsharedStubData@@QBEXPAUStubData@@@Z	public: void __thiscall MPsharedStubData::get(struct StubData *)const 	shell.o
0x00564BB0	0x009540B0	?ApplyControllerButtonConfig@@YAXH@Z	void __cdecl ApplyControllerButtonConfig(int)	shell.o
0x00564C70	0x00954170	?Init@SaveGameData@@QAEXXZ	public: void __thiscall SaveGameData::Init(void)	shell.o
0x00564D30	0x00954230	?LoadData@SaveGameData@@QAEXPAU1@@Z	public: void __thiscall SaveGameData::LoadData(struct SaveGameData *)	shell.o
0x00564F10	0x00954410	?ApplyControllerStickConfig@@YAXH@Z	void __cdecl ApplyControllerStickConfig(int)	shell.o
0x00564F70	0x00954470	??1IGOFrontEnd@@UAE@XZ	public: virtual __thiscall IGOFrontEnd::~IGOFrontEnd(void)	shell.o
0x00565110	0x00954610	?PanelFileUnloaded@IGOFrontEnd@@UAEXPAVPanelFile@@@Z	public: virtual void __thiscall IGOFrontEnd::PanelFileUnloaded(class PanelFile *)	shell.o
0x00565140	0x00954640	?UpdateInScene@IGOFrontEnd@@UAEXM@Z	public: virtual void __thiscall IGOFrontEnd::UpdateInScene(float)	shell.o
0x00565180	0x00954680	?SetTutorialText@IGOFrontEnd@@QAEXHH@Z	public: void __thiscall IGOFrontEnd::SetTutorialText(int,int)	shell.o
0x00565260	0x00954760	?SetActionHint@IGOFrontEnd@@QAEXHH@Z	public: void __thiscall IGOFrontEnd::SetActionHint(int,int)	shell.o
0x00565300	0x00954800	?DrawHint@IGOFrontEnd@@UAEXH@Z	public: virtual void __thiscall IGOFrontEnd::DrawHint(int)	shell.o
0x00565350	0x00954850	?Draw@IGOFrontEnd@@UAEXH@Z	public: virtual void __thiscall IGOFrontEnd::Draw(int)	shell.o
0x00565660	0x00954B60	?Draw3DWorldSpace@IGOFrontEnd@@QAEXXZ	public: void __thiscall IGOFrontEnd::Draw3DWorldSpace(void)	shell.o
0x00565690	0x00954B90	?UpdateSplitScreen@IGOFrontEnd@@QAEXXZ	public: void __thiscall IGOFrontEnd::UpdateSplitScreen(void)	shell.o
0x00565920	0x00954E20	?ResetWidgets@IGOFrontEnd@@QAEXXZ	public: void __thiscall IGOFrontEnd::ResetWidgets(void)	shell.o
0x00565A40	0x00954F40	?TurnOffMostWidgets@IGOFrontEnd@@QAEXXZ	public: void __thiscall IGOFrontEnd::TurnOffMostWidgets(void)	shell.o
0x00565B50	0x00955050	?SetForLiberatorBomber@IGOFrontEnd@@QAEXXZ	public: void __thiscall IGOFrontEnd::SetForLiberatorBomber(void)	shell.o
0x00565B60	0x00955060	?SetForLiberatorGround@IGOFrontEnd@@QAEXXZ	public: void __thiscall IGOFrontEnd::SetForLiberatorGround(void)	shell.o
0x00565BF0	0x009550F0	?SetForTunisia@IGOFrontEnd@@QAEXXZ	public: void __thiscall IGOFrontEnd::SetForTunisia(void)	shell.o
0x00565C40	0x00955140	?SetHUDType@IGOFrontEnd@@QAEXW4hud_type@@H@Z	public: void __thiscall IGOFrontEnd::SetHUDType(enum hud_type,int)	shell.o
0x00565C80	0x00955180	?get_screensafe_left@@YAMXZ	float __cdecl get_screensafe_left(void)	shell.o
0x00565C90	0x00955190	?get_screensafe_right@@YAMXZ	float __cdecl get_screensafe_right(void)	shell.o
0x00565CA0	0x009551A0	?get_screensafe_top@@YAMXZ	float __cdecl get_screensafe_top(void)	shell.o
0x00565CB0	0x009551B0	?get_screensafe_bottom@@YAMXZ	float __cdecl get_screensafe_bottom(void)	shell.o
0x00565CC0	0x009551C0	??0IGOStanceWidget@@QAE@H@Z	public: __thiscall IGOStanceWidget::IGOStanceWidget(int)	shell.o
0x00565D00	0x00955200	?Update@IGOStanceWidget@@UAEXM@Z	public: virtual void __thiscall IGOStanceWidget::Update(float)	shell.o
0x00565EA0	0x009553A0	??0IGOHealthWidget@@QAE@H@Z	public: __thiscall IGOHealthWidget::IGOHealthWidget(int)	shell.o
0x00565EE0	0x009553E0	?Draw@IGOHealthWidget@@UAEXXZ	public: virtual void __thiscall IGOHealthWidget::Draw(void)	shell.o
0x00565F50	0x00955450	??0IGOHQProgressBarWidget@@QAE@H@Z	public: __thiscall IGOHQProgressBarWidget::IGOHQProgressBarWidget(int)	shell.o
0x00565F90	0x00955490	??1IGOHQProgressBarWidget@@UAE@XZ	public: virtual __thiscall IGOHQProgressBarWidget::~IGOHQProgressBarWidget(void)	shell.o
0x00566020	0x00955520	?Draw@IGOHQProgressBarWidget@@UAEXXZ	public: virtual void __thiscall IGOHQProgressBarWidget::Draw(void)	shell.o
0x00566070	0x00955570	??0IGORaiseFlagWidget@@QAE@H@Z	public: __thiscall IGORaiseFlagWidget::IGORaiseFlagWidget(int)	shell.o
0x005660A0	0x009555A0	??1IGORaiseFlagWidget@@UAE@XZ	public: virtual __thiscall IGORaiseFlagWidget::~IGORaiseFlagWidget(void)	shell.o
0x00566100	0x00955600	?Update@IGORaiseFlagWidget@@UAEXM@Z	public: virtual void __thiscall IGORaiseFlagWidget::Update(float)	shell.o
0x005661D0	0x009556D0	?Draw@IGORaiseFlagWidget@@UAEXXZ	public: virtual void __thiscall IGORaiseFlagWidget::Draw(void)	shell.o
0x005661F0	0x009556F0	??0IGOTimerWidget@@QAE@H@Z	public: __thiscall IGOTimerWidget::IGOTimerWidget(int)	shell.o
0x00566230	0x00955730	??1IGOTimerWidget@@UAE@XZ	public: virtual __thiscall IGOTimerWidget::~IGOTimerWidget(void)	shell.o
0x00566280	0x00955780	?Draw@IGOTimerWidget@@UAEXXZ	public: virtual void __thiscall IGOTimerWidget::Draw(void)	shell.o
0x005662A0	0x009557A0	?UpdateWidescreen@IGOTimerWidget@@UAEX_NM@Z	public: virtual void __thiscall IGOTimerWidget::UpdateWidescreen(bool,float)	shell.o
