ida_ea	name	signature	source_cpp
0x00563FE0	?Init@StubData@@QAEXXZ	public: void __thiscall StubData::Init(void)	
0x005641E0	?LoadData@StubData@@QAEXPAU1@@Z	public: void __thiscall StubData::LoadData(struct StubData *)	
0x00564400	?LoadDataLastMinFix@StubData@@QAEXPAU1@@Z	public: void __thiscall StubData::LoadDataLastMinFix(struct StubData *)	
0x00564610	?ApplyDifficulty@StubData@@QAEXXZ	public: void __thiscall StubData::ApplyDifficulty(void)	
0x00564620	?set@MPsharedStubData@@QAEXPAUStubData@@@Z	public: void __thiscall MPsharedStubData::set(struct StubData *)	
0x005648C0	?get@MPsharedStubData@@QBEXPAUStubData@@@Z	public: void __thiscall MPsharedStubData::get(struct StubData *)const 	
0x00564BB0	?ApplyControllerButtonConfig@@YAXH@Z	void __cdecl ApplyControllerButtonConfig(int)	
0x00564C70	?Init@SaveGameData@@QAEXXZ	public: void __thiscall SaveGameData::Init(void)	
0x00564D30	?LoadData@SaveGameData@@QAEXPAU1@@Z	public: void __thiscall SaveGameData::LoadData(struct SaveGameData *)	
0x00564F10	?ApplyControllerStickConfig@@YAXH@Z	void __cdecl ApplyControllerStickConfig(int)	
0x00564F70	??1IGOFrontEnd@@UAE@XZ	public: virtual __thiscall IGOFrontEnd::~IGOFrontEnd(void)	
0x00565110	?PanelFileUnloaded@IGOFrontEnd@@UAEXPAVPanelFile@@@Z	public: virtual void __thiscall IGOFrontEnd::PanelFileUnloaded(class PanelFile *)	
0x00565140	?UpdateInScene@IGOFrontEnd@@UAEXM@Z	public: virtual void __thiscall IGOFrontEnd::UpdateInScene(float)	
0x00565180	?SetTutorialText@IGOFrontEnd@@QAEXHH@Z	public: void __thiscall IGOFrontEnd::SetTutorialText(int,int)	
0x00565260	?SetActionHint@IGOFrontEnd@@QAEXHH@Z	public: void __thiscall IGOFrontEnd::SetActionHint(int,int)	
0x00565300	?DrawHint@IGOFrontEnd@@UAEXH@Z	public: virtual void __thiscall IGOFrontEnd::DrawHint(int)	
0x00565350	?Draw@IGOFrontEnd@@UAEXH@Z	public: virtual void __thiscall IGOFrontEnd::Draw(int)	
