ida_ea	va	name	signature	family
0x00664000	0x00A53500	?GetFileExt@@YAPBDPBD@Z	char const * __cdecl GetFileExt(char const *)	streamer.o
0x00664030	0x00A53530	?GetWorkAmount@@YAIPBD@Z	unsigned int __cdecl GetWorkAmount(char const *)	streamer.o
0x00664B90	0x00A54090	?GetLoadTime@PakFile@@ABEMXZ	private: float __thiscall PakFile::GetLoadTime(void)const 	streamer.o
0x00664BC0	0x00A540C0	?GetProgress@PakFile@@QBEMXZ	public: float __thiscall PakFile::GetProgress(void)const 	streamer.o
0x00664C30	0x00A54130	?IsCancelOk@PakFile@@QBE_NXZ	public: bool __thiscall PakFile::IsCancelOk(void)const 	streamer.o
0x00664C40	0x00A54140	?CopyHeader@PakFile@@AAEXXZ	private: void __thiscall PakFile::CopyHeader(void)	streamer.o
0x00664CD0	0x00A541D0	?DetermineNextFile@PakFile@@AAEXXZ	private: void __thiscall PakFile::DetermineNextFile(void)	streamer.o
0x00664E50	0x00A54350	?GetInfo@PakFile@@QBEPBUPakInfoNode@@XZ	public: struct PakInfoNode const * __thiscall PakFile::GetInfo(void)const 	streamer.o
0x00664E80	0x00A54380	?ValidateRange@PakFile@@ABEXPAX@Z	private: void __thiscall PakFile::ValidateRange(void *)const 	streamer.o
0x00664EC0	0x00A543C0	?IsRequestValid@PakFile@@ABE_NAATTRequestId@@@Z	private: bool __thiscall PakFile::IsRequestValid(union TRequestId &)const 	streamer.o
0x00664EE0	0x00A543E0	?SetRequestInvalid@PakFile@@ABEXAATTRequestId@@@Z	private: void __thiscall PakFile::SetRequestInvalid(union TRequestId &)const 	streamer.o
0x00664EF0	0x00A543F0	?IsRequestDone@PakFile@@ABE_NAATTRequestId@@@Z	private: bool __thiscall PakFile::IsRequestDone(union TRequestId &)const 	streamer.o
0x00665080	0x00A54580	?stream_alloc@@YAPAEH_N@Z	unsigned char * __cdecl stream_alloc(int,bool)	streamer.o
0x006651A0	0x00A546A0	?stream_free@@YAXPAE_N@Z	void __cdecl stream_free(unsigned char *,bool)	streamer.o
0x00665210	0x00A54710	?DecodeDB@@YAXPBDPAEHW4TPakId@@PAVPakFile@@@Z	void __cdecl DecodeDB(char const *,unsigned char *,int,enum TPakId,class PakFile *)	streamer.o
0x00665230	0x00A54730	?DecodeXModelBank@@YAXPBDPAEHW4TPakId@@PAVPakFile@@@Z	void __cdecl DecodeXModelBank(char const *,unsigned char *,int,enum TPakId,class PakFile *)	streamer.o
0x00665250	0x00A54750	?DecodeXModelPartsBank@@YAXPBDPAEHW4TPakId@@PAVPakFile@@@Z	void __cdecl DecodeXModelPartsBank(char const *,unsigned char *,int,enum TPakId,class PakFile *)	streamer.o
0x00665270	0x00A54770	?DecodeAITypeBank@@YAXPBDPAEHW4TPakId@@PAVPakFile@@@Z	void __cdecl DecodeAITypeBank(char const *,unsigned char *,int,enum TPakId,class PakFile *)	streamer.o
