ida_ea	name	signature	source_cpp
0x008333A0	?tlSetSystemCallbacks@@YAXPBUtlSystemCallbacks@@@Z	void __cdecl tlSetSystemCallbacks(struct tlSystemCallbacks const *)	
0x008333C0	?tlLinkFrame@@YAXXZ	void __cdecl tlLinkFrame(void)	
0x008333D0	?tlLinkConnected@@YA_NXZ	bool __cdecl tlLinkConnected(void)	
0x008333E0	?tlSetFileServerRootPC@@YAXPBD@Z	void __cdecl tlSetFileServerRootPC(char const *)	
0x00833400	?tlMemFree@@YAXPAX@Z	void __cdecl tlMemFree(void *)	
0x00833440	?tlReleaseFile@@YAXPAUtlFileBuf@@@Z	void __cdecl tlReleaseFile(struct tlFileBuf *)	
0x008334B0	?tlFinalPrint@@YAXPBD@Z	void __cdecl tlFinalPrint(char const *)	
0x008334C0	?tlGetVersion@@YAHXZ	int __cdecl tlGetVersion(void)	
0x008334D0	?tlGetFreeMemory@@YAIXZ	unsigned int __cdecl tlGetFreeMemory(void)	
0x008334F0	?tlSetCurrentThreadName@@YAXPBD@Z	void __cdecl tlSetCurrentThreadName(char const *)	
0x00833580	?tlFatalHandler@@YA_NPBD@Z	bool __cdecl tlFatalHandler(char const *)	
0x008335C0	?tlFatal@@YAXPBDZZ	void __cdecl tlFatal(char const *,...)	
0x00833620	?_tlAssert@@YA_NPBDH00@Z	bool __cdecl _tlAssert(char const *,int,char const *,char const *)	
0x008336A0	?tlMemAlloc@@YAPAXIII@Z	void * __cdecl tlMemAlloc(unsigned int,unsigned int,unsigned int)	
0x00833730	?tlMemRealloc@@YAPAXPAXIII@Z	void * __cdecl tlMemRealloc(void *,unsigned int,unsigned int,unsigned int)	
0x008337B0	?tlPrint@@YAXPBD@Z	void __cdecl tlPrint(char const *)	
0x008337C0	?tlStackRangeInit@@YAXXZ	void __cdecl tlStackRangeInit(void)	
0x00833830	?tlScratchPadInit@@YAPAXXZ	void * __cdecl tlScratchPadInit(void)	
0x008338B0	?tlScratchPadReset@@YAXXZ	void __cdecl tlScratchPadReset(void)	
0x00833940	?tlDebugPrint@@YAXPBD@Z	void __cdecl tlDebugPrint(char const *)	
0x00833960	?tlPrintf@@YAXPBDZZ	void __cdecl tlPrintf(char const *,...)	
0x008339B0	?tlReadFile@@YA_NPBDPAUtlFileBuf@@II@Z	bool __cdecl tlReadFile(char const *,struct tlFileBuf *,unsigned int,unsigned int)	
0x00833AF0	?tlWarning@@YAXPBDZZ	void __cdecl tlWarning(char const *,...)	
