ida_ea	va	name	signature	family
0x007E3400	0x00BD2900	_unzStringFileNameCompare	_unzStringFileNameCompare	unzip.o
0x007E3590	0x00BD2A90	_unzReOpen	_unzReOpen	unzip.o
0x007E35E0	0x00BD2AE0	_unzGetGlobalInfo	_unzGetGlobalInfo	unzip.o
0x007E39C0	0x00BD2EC0	_unzGetCurrentFileInfo	_unzGetCurrentFileInfo	unzip.o
0x007E39F0	0x00BD2EF0	_unzGoToFirstFile	_unzGoToFirstFile	unzip.o
0x007E3A40	0x00BD2F40	_unzGoToNextFile	_unzGoToNextFile	unzip.o
0x007E3AC0	0x00BD2FC0	_unzGetCurrentFileInfoPosition	_unzGetCurrentFileInfoPosition	unzip.o
0x007E3AE0	0x00BD2FE0	_unzSetCurrentFileInfoPosition	_unzSetCurrentFileInfoPosition	unzip.o
0x007E3B30	0x00BD3030	_unzLocateFile	_unzLocateFile	unzip.o
0x007E3DE0	0x00BD32E0	_unzReadCurrentFile	_unzReadCurrentFile	unzip.o
0x007E3FD0	0x00BD34D0	_unztell	_unztell	unzip.o
0x007E3FF0	0x00BD34F0	_unzeof	_unzeof	unzip.o
0x007E4020	0x00BD3520	_unzGetLocalExtrafield	_unzGetLocalExtrafield	unzip.o
0x007E40B0	0x00BD35B0	_unzCloseCurrentFile	_unzCloseCurrentFile	unzip.o
0x007E4130	0x00BD3630	_unzGetGlobalComment	_unzGetGlobalComment	unzip.o
0x007E41B0	0x00BD36B0	_unzOpen	_unzOpen	unzip.o
0x007E4330	0x00BD3830	_unzClose	_unzClose	unzip.o
0x007E4370	0x00BD3870	_unzOpenCurrentFile	_unzOpenCurrentFile	unzip.o
